premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
2 block from,union square,close to,union square,0.5
close to,union square,2 block from,union square,0.5
2 block from,union square,good,location near union square,0.5312
decent,hotel,acceptable,room,0.5312
acceptable,room,not good,room,0.5172
accessible,room,easy,access,1.0
easy,access,accessible,room,1.0
accommodate,staff,excellent,staff,0.5161
excellent,staff,accommodate,staff,0.5161
accomodating,staff,efficient,service,1.0
adequate,breakfast,fine,breakfast,0.5484
fine,breakfast,adequate,breakfast,0.5484
adequate,breakfast,good,continental breakfast,0.5
good,continental breakfast,adequate,breakfast,0.5
adequate,breakfast,nice,continental breakfast,1.0
nice,continental breakfast,adequate,breakfast,1.0
simple,hotel,affordable,hotel,0.5312
affordable,hotel,affordable,place,1.0
affordable,place,affordable,hotel,1.0
affordable,place,good,price,0.5312
good,price,affordable,place,0.5312
affordable,place,inexpensive,place,0.5
inexpensive,place,affordable,place,0.5
affordable,price,good,price,1.0
good,price,affordable,price,1.0
affordable,room,affordable,place,0.5172
always,staff,great,staff,0.5333
amazing,bar,awesome,bar,1.0
awesome,bar,amazing,bar,1.0
amazing,bar,nice,bar,1.0
nice,bar,amazing,bar,1.0
amazing,bed,great,bed,1.0
great,bed,amazing,bed,1.0
amazing,bed,awesome,bed,1.0
awesome,bed,amazing,bed,1.0
amazing,bed,most comfortable,bed,0.5152
most comfortable,bed,amazing,bed,0.5152
amazing,breakfast,great,breakfast,1.0
great,breakfast,amazing,breakfast,1.0
amazing,breakfast,love,breakfast,1.0
love,breakfast,amazing,breakfast,1.0
amazing,breakfast,delicious,breakfast,1.0
delicious,breakfast,amazing,breakfast,1.0
fantastic,place,amazing,city,0.535
amazing,concierge,good,concierge,1.0
good,concierge,amazing,concierge,1.0
amazing,concierge,great,concierge service,1.0
great,concierge service,amazing,concierge,1.0
amazing,concierge,fantastic,concierge,1.0
fantastic,concierge,amazing,concierge,1.0
amazing,customer service,outstanding,customer service,1.0
outstanding,customer service,amazing,customer service,1.0
amazing,customer service,excellent,experience,0.5333
amazing,hotel,favorite,hotel,1.0
favorite,hotel,amazing,hotel,1.0
amazing,hotel,wonderful,stay,0.5152
wonderful,stay,amazing,hotel,0.5152
amazing,lobby,elegant,lobby,1.0
elegant,lobby,amazing,lobby,1.0
amazing,location,outstanding,location,1.0
outstanding,location,amazing,location,1.0
amazing,location,fabulous,location,1.0
fabulous,location,amazing,location,1.0
amazing,location,fantastic,location,1.0
fantastic,location,amazing,location,1.0
amazing,place,great,atmosphere,1.0
great,atmosphere,amazing,place,1.0
amazing,place,awesome,place,1.0
awesome,place,amazing,place,1.0
amazing,restaurant,awesome,restaurant,1.0
awesome,restaurant,amazing,restaurant,1.0
amazing,restaurant,excellent,hotel staff,0.5312
excellent,hotel staff,amazing,restaurant,0.5312
amazing,room,incredible,room,1.0
incredible,room,amazing,room,1.0
amazing,service,wonderful,service,1.0
wonderful,service,amazing,service,1.0
amazing,service,top notch,service,0.5
top notch,service,amazing,service,0.5
top notch,staff,amazing,service,0.5172
amazing,staff,fantastic,staff,1.0
fantastic,staff,amazing,staff,1.0
amazing,staff,great,staff,1.0
great,staff,amazing,staff,1.0
amazing,staff,incredible,staff,1.0
incredible,staff,amazing,staff,1.0
wonderful,room,amazing,stay,0.5161
beautiful,room,amazing,stay,1.0
amazing,view,fabulous,view,1.0
fabulous,view,amazing,view,1.0
amazing,view,amazing,view from,1.0
amazing,view from,amazing,view,1.0
amazing,view,beautiful,view of city,0.5152
beautiful,view of city,amazing,view,0.5152
amazing,view from,fabulous,view,1.0
fabulous,view,amazing,view from,1.0
amazing,view from,wonderful,view,1.0
wonderful,view,amazing,view from,1.0
amazing,view from,beautiful,view of city,0.5152
beautiful,view of city,amazing,view from,0.5152
amazing,view of city,great,city view,1.0
great,city view,amazing,view of city,1.0
amazing,view of city,nice,city view,1.0
nice,city view,amazing,view of city,1.0
attentive,service,outstanding,service,0.5324
outstanding,service,attentive,service,0.5324
top notch,service,attentive,service,1.0
attentive,staff,outstanding,staff,0.5
outstanding,staff,attentive,staff,0.5
attentive,staff,exceptional,staff,1.0
exceptional,staff,attentive,staff,1.0
available,breakfast,convenient,breakfast,1.0
convenient,breakfast,available,breakfast,1.0
available,tea,available,coffee,0.5333
available,tea,free,tea,0.5333
available,water,available,coffee,0.5152
available,coffee,available,water,0.5152
average,breakfast,fine,breakfast,0.5161
fine,breakfast,average,breakfast,0.5161
average,breakfast,complimentary,breakfast,0.5517
complimentary,breakfast,average,breakfast,0.5517
average,room,standard,room,1.0
standard,room,average,room,1.0
slow,check in,average,service,0.5152
awesome,bar,amazing,bar,1.0
amazing,bar,awesome,bar,1.0
awesome,bed,great,bed,1.0
great,bed,awesome,bed,1.0
awesome,bed,amazing,bed,1.0
amazing,bed,awesome,bed,1.0
awesome,bed,love,bed,1.0
love,bed,awesome,bed,1.0
awesome,breakfast,great,breakfast,1.0
