premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
good,level,adequate,sound,1.0
amazing,bass,smooth,sound,0.5429
happy,son,amazing,build quality,0.5037
good,photo quality,amazing,camera,0.5517
amazing,color,excellent,contrast,1.0
excellent,contrast,amazing,color,1.0
clear,instruction,amazing,customer service,0.5278
good,isolation,amazing,headphone,0.5135
easy to install,software,amazing,performance,0.5278
stunning,image,amazing,photo,0.5455
amazing,picture,beautiful,image,1.0
beautiful,image,amazing,picture,1.0
amazing,picture quality,beautiful,image,1.0
beautiful,image,amazing,picture quality,1.0
amazing,size,great,portability,0.5429
great,portability,amazing,size,0.5429
amazing,speaker,powerful,sound,0.52
powerful,sound,amazing,speaker,0.52
sharp,screen,amazing,tablet,0.5278
great,material,attractive,case,0.5161
awesome,battery life,great,form factor,0.5149
awesome,camera,good,photo quality,1.0
awesome,device,limited,option,0.52
awesome,drive,fast,usb,0.5143
fast,usb,awesome,drive,0.5143
awesome,sound,remarkable,quality,0.534
amazing,3d,awesome,tv,0.52
optical,viewfinder,awesome,zoom,0.5135
awful,sound,bad,speaker,0.5152
large,display,bad,battery life,0.5135
beautiful,display,awesome,screen,1.0
awesome,screen,beautiful,display,1.0
beautiful,image,stunning,picture,0.5429
stunning,picture,beautiful,image,0.5429
deep,black,beautiful,picture,0.5135
beautiful,screen,rear,camera,0.5385
beautiful,sound,awesome,speaker,0.5172
sharp,picture,better,contrast,0.5429
better,device,fast,internet connection,0.5152
clear,video,better,image,0.5263
better,photo,excellent,image quality,0.5152
excellent,image quality,better,photo,0.5152
better,picture,great,image,1.0
great,image,better,picture,1.0
better,picture quality,great,video quality,0.5185
great,video quality,better,picture quality,0.5185
excellent,sound,better,quality,0.5135
external,antenna,better,signal strength,0.5263
better,video,large,lcd screen,0.5135
large,lcd screen,better,video,0.5135
big,screen,bright,display,0.5093
powerful,sound,big,speaker,0.5217
bright,lcd screen,fantastic,camera,0.5135
bright,thing,great,light,0.5429
sturdy,connector,cheap,cable,0.5172
cheap,case,great,material,0.5152
great,material,cheap,case,0.5152
cheap,one,reasonable,price,0.5429
cheap,remote,optical,audio,0.5185
optical,audio,cheap,remote,0.5185
clean,image,clear,photo,1.0
clear,photo,clean,image,1.0
clean,picture,great,image,0.5294
great,image,clean,picture,0.5294
clear,direction,easy to follow,instruction,0.5304
easy to follow,instruction,clear,direction,0.5304
clear,mic,good,headset,0.5278
good,headset,clear,mic,0.5278
clear,picture quality,great,image,0.5278
excellent,sound,clear,quality,0.55
clear,shot,good,photo,0.5161
good,photo,clear,shot,0.5161
comfortable,ear bud,good,earphone,0.5532
good,earphone,comfortable,ear bud,0.5532
small,ear,comfortable,fit,0.5278
compact,camera,optical,zoom,0.5143
optical,zoom,compact,camera,0.5143
compact,design,perfect,unit,0.505
perfect,unit,compact,design,0.505
compact,drive,fast,usb,0.52
comparable,sound,much well,bass,0.5172
competitive,price,good,deal,0.5135
awesome,screen,crisp,display,1.0
rich,bass,crisp,sound,0.5143
decent,performance,positive,experience,0.5135
weak,bass,decent,sound,0.5238
decent,speaker,good,movie,0.5135
deep,bass,clear,high,0.5143
clear,high,deep,bass,0.5143
defective,camera,grainy,image,1.0
different,size,big,one,0.5152
big,one,different,size,0.5152
durable,material,strong,case,0.5455
good,instruction,easy,installation,0.5278
easy,navigation,small,display,0.5417
easy,setup,wireless,network,0.55
easy to follow,direction,simple,instruction,0.504
simple,instruction,easy to follow,direction,0.504
easy to use,thing,simple,user interface,1.0
simple,user interface,easy to use,thing,1.0
enough,light,sharp,photo,0.5135
sharp,photo,enough,light,0.5135
enough,usb port,dim,light,0.5312
dim,light,enough,usb port,0.5312
excellent,build quality,solid,construction,0.5128
solid,construction,excellent,build quality,0.5128
excellent,construction,nice,look,0.5185
excellent,contrast,amazing,color,0.5429
excellent,design,nice,fact,0.52
nice,fact,excellent,design,0.52
