premise_mod,premise_asp,conclusion_mod,conclusion_asp,confidence
too small,room,tiny,room,1.0
tiny,room,too small,room,1.0
awesome,view,amazing,view,1.0
amazing,view,awesome,view,1.0
walk distance,fishermans wharf,walk distance,fisherman 's,1.0
walk distance,fisherman 's,walk distance,fishermans wharf,1.0
quick,check in,great,overall experience,0.693
incredible,view,incredible,views,1.0
incredible,views,incredible,view,1.0
good,choice,good,option,1.0
good,option,good,choice,1.0
ideal,location,perfect,spot,0.8528
perfect,spot,ideal,location,0.8528
small,table,tiny,table,0.9647
tiny,table,small,table,0.9647
good,bacon,delicious,breakfast,0.6083
great,service,attentive,staff,0.5078
attentive,staff,great,service,0.5078
good,service,nice,server,1.0
nice,server,good,service,1.0
friendly,staff,great,customer service,0.5429
delicious,food,tasty,everything,0.5373
tasty,everything,delicious,food,0.5373
great,atmosphere,amazing,vibe,1.0
amazing,vibe,great,atmosphere,1.0
friendly,server,nice,atmosphere,1.0
nice,atmosphere,friendly,server,1.0
nice,place,good,spot,1.0
good,spot,nice,place,1.0
tasty,food,varied,menu,0.5758
rude,server,bad,service,0.525
lovely,meal,amazing,service,1.0
good,dish,great,plate,1.0
great,plate,good,dish,1.0
enjoy,food,lack,flavor,0.5026
great,price,affordable,food,0.5284
affordable,food,great,price,0.5284
attentive,server,enjoy,meal,1.0
reasonably,price,love,place,0.505
small,restaurant,tiny,space,1.0
tiny,space,small,restaurant,1.0
fantastic,food,amazing,everything,0.5135
great,meal,outstanding,food,1.0
outstanding,food,great,meal,1.0
special,dinner,good,restaurant,1.0
delicious,everything,amazing,food,0.5429
amazing,food,delicious,everything,0.5429
average,food,poor,execution,0.5135
poor,service,rude,server,1.0
rude,server,poor,service,1.0
chewy,crust,good,pizza,0.5294
great,ambiance,lovely,ambience,0.5039
lovely,ambience,great,ambiance,0.5039
lot of,flavor,good,taste,0.5385
small,table,tight,place,0.5199
tight,place,small,table,0.5199
great,meal,fantastic,service,0.5455
friendly,server,nice,service,0.5135
bad,food,horrible,service,0.5159
horrible,service,bad,food,0.5159
horrible,service,rude,server,0.5492
rude,server,horrible,service,0.5492
great,value,fair,price,0.5278
great,value,affordable,price,1.0
affordable,price,great,value,1.0
prompt,service,comfortable,seating,0.528
comfortable,seating,prompt,service,0.528
good,review,highly,recommend,0.535
friendly,waitress,nice,server,1.0
cheap,food,awesome,price,0.5172
awesome,price,cheap,food,0.5172
attentive,server,nice,ambiance,0.5588
cheap,price,affordable,food,0.5135
good,chicken,great,BBQ,0.5143
great,BBQ,good,chicken,0.5143
taste,food,tasty,item,0.5178
tasty,item,taste,food,0.5178
small,space,tiny,place,1.0
tiny,place,small,space,1.0
good,steak,mash,potato,0.5135
rude,server,bad,experience,1.0
favourite,restaurant,recommend,dish,0.5385
recommend,dish,favourite,restaurant,0.5385
friendly,waiter,great,server,0.5268
delicious,meal,perfect,food,1.0
perfect,food,delicious,meal,1.0
great,ambience,good,ambiance,1.0
good,ambiance,great,ambience,1.0
friendly,server,awesome,service,0.5152
cozy,atmosphere,intimate,feel,0.5152
intimate,feel,cozy,atmosphere,0.5152
great,place for,ample,seating,0.5229
fun,place,lot of,fun,0.5106
great,decor,beautiful,place,0.5313
beautiful,place,great,decor,0.5313
good,option,not bad,place,0.5135
not bad,place,good,option,0.5135
great,decor,nice,ambience,1.0
phenomenal,food,recommend,restaurant,0.5078
great,vibes,good,music,0.5263
pricey,food,disappointing,service,0.5327
recommend,place,great,everything,0.5106
amazing,dinner,top notch,service,0.5789
beautiful,decor,gorgeous,interior,0.5429
clean,restaurant,good,lunch,0.5789
great,beer,nice,pub,0.5294
good,dinner,better,service,0.5143
incredible,food,excellent,dish,0.5588
excellent,dish,incredible,food,0.5588
affordable,price,great,value,0.5135
great,value,affordable,price,0.5135
low,price,cheap,place,1.0
cheap,place,low,price,1.0
great,plate,love,restaurant,1.0
tasty,dish,different,food,0.5278
good,appetizer,great,wait staff,0.5015
great,wait staff,good,appetizer,0.5015
soft,beef,favorite,dish,0.5217
good,flavor,great,flavour,1.0
great,flavour,good,flavor,1.0
poor,execution,not great,food,0.5152
like,atmosphere,great,environment,0.5244
great,coffee,good,latte,1.0
good,latte,great,coffee,1.0
dirty,plate,terrible,food,1.0
loud,place,very,loud,0.5313
very,loud,loud,place,0.5313
amazing,dish,different,food,0.52
perfect,food,good,meal,1.0
good,meal,perfect,food,1.0
outstanding,food,amazing,meal,0.5429
amazing,meal,outstanding,food,0.5429
unique,flavour,interesting,flavor,1.0
interesting,flavor,unique,flavour,1.0
nice,flavour,interesting,flavor,0.5143
interesting,flavor,nice,flavour,0.5143
delicious,burger,good,Burger,1.0
good,Burger,delicious,burger,1.0
unique,flavor,delicious,menu,1.0
horrible,food,lack,service,0.5294
modern,decor,pretty,presentation,0.5143
more,food,good,choice,0.5257
quality,food,good,meal,1.0
good,meal,quality,food,1.0
good,fry chicken,creamy,coleslaw,0.5135
promptly,seat,great,service,0.505
great,service,promptly,seat,0.505
great,presentation,beautiful,dish,0.5185
great,beer selection,extensive,beer list,1.0
extensive,beer list,great,beer selection,1.0
good,fish,high,quality,0.5417
large,table,big,place,0.5031
cute,ambiance,open,kitchen,0.5278
tasty,everything,delicious,food,0.5135
accommodate,staff,friendly,service,0.5517
friendly,service,accommodate,staff,0.5517
good,ambiance,great,ambience,0.5278
great,ambience,good,ambiance,0.5278
open concept,kitchen,interesting,menu,0.5294
love,ambiance,great,date,0.5278
great,date,love,ambiance,0.5278
nice,flavour,good,item,0.5484
nice,experience,worth,price,0.5625
great,dinner,amazing,server,0.5345
good,soup base,flavourful,broth,0.5263
great,bar,quick,drink,1.0
salty,food,tender,flavor,0.5096
perfect,texture,highlight,dish,0.5143
like,dish,delicious,food,0.5172
delicious,food,like,dish,0.5172
gorgeous,interior,beautiful,place,0.5294
reasonable,food,full,meal,0.5417
full,meal,reasonable,food,0.5417
good,texture,nice,flavour,0.5333
yummy,dessert,worth,experience,0.5135
great,people,good,place for,0.5143
amazing,meal,outstanding,food,1.0
outstanding,food,amazing,meal,1.0
good,soup base,delicious,broth,0.5152
good,patty,love,burger,0.5278
delicious,place,good,portion,0.5135
exceptional,food,fine,restaurant,1.0
steep,price,not worth,money,0.5135
good,rib,great,BBQ,0.5294
amazing,taste,highly,recommend,1.0
good,beer selection,great,selection of beer,1.0
great,selection of beer,good,beer selection,1.0
superb,service,fantastic,server,1.0
fantastic,server,superb,service,1.0
delicious,soup,more,meat,0.5417
more,meat,delicious,soup,0.5417
authentic,Thai,good,curry,0.52
cheap,eat,affordable,food,1.0
affordable,food,cheap,eat,1.0
clean,bathroom,decent,place,0.5357
excellent,bread,great,recommendation,0.5128
delicious,calamari,great,waiter,0.5278
good,Caesar salad,great,steak,0.5143
great,decor,nice,space,1.0
good,seasoning,great,meat,0.5143
pleasant,server,kind,waitress,0.5056
kind,waitress,pleasant,server,0.5056
consistent,food,always,service,0.5429
nice,worker,pleasant,staff,1.0
great,night,fantastic,cocktail,0.5257
fresh,vegetable,healthy,food,0.5278
good,presentation,high,food,0.5269
high,food,good,presentation,0.5269
5 star,service,spectacular,food,0.5012
lot of,fun,fun,place,1.0
fun,place,lot of,fun,1.0
great,space,nice,place,0.5455
nice,place,great,space,0.5455
great,staff,wonderful,place,0.5143
plenty of,seating,convenient,place,0.5278
loud,restaurant,extremely,loud,0.5035
extremely,loud,loud,restaurant,0.5035
decent,size,unfriendly,service,0.5357
lovely,place,cute,ambiance,0.504
cute,ambiance,lovely,place,0.504
small,snack,delicious,sandwich,0.5008
quickly,order,fast,serve,0.5333
fast,serve,quickly,order,0.5333
delicious,tacos,great,Tacos,0.5313
great,Tacos,delicious,tacos,0.5313
efficient,staff,good,alternative,0.5038
good,alternative,efficient,staff,0.5038
fine,dining establishment,top notch,food,0.5429
impressed,service,knowledgeable,server,0.5135
knowledgeable,server,impressed,service,0.5135
terrible,server,not worth,food,0.5031
delicious,raman,great,Ramen,1.0
great,Ramen,delicious,raman,1.0
tiny,table,cramped,space,0.5161
love,dessert,upscale,decor,0.5094
standard,pub fare,good,beers,0.5089
enjoy,burger,juicy,patty,0.5185
juicy,patty,enjoy,burger,0.5185
good,pad thai,great,Thai,0.5294
great,Thai,good,pad thai,0.5294
great,restaurant,good,waiter,0.5143
look,food,small,salad,0.5238
delicious,taste,good,flavour,1.0
good,flavour,delicious,taste,1.0
great,chicken,good,BBQ,0.5312
incredible,food,excellent,dish,0.5035
cheap,price,affordable,food,0.5143
good,sashimi,fresh,Sashimi,1.0
fresh,Sashimi,good,sashimi,1.0
good,seafood,delicious,lobster,0.5152
sweet,taste,unique,flavor,1.0
good,thai food,great,Thai,1.0
great,Thai,good,thai food,1.0
perfect,atmosphere,positive,experience,0.5429
enjoy,drink,nice,bar,0.5429
full,meal,good,bite,0.5229
helpful,waitress,attentive,waitstaff,1.0
attentive,waitstaff,helpful,waitress,1.0
amazing,sushi,love,roll,0.5143
love,roll,amazing,sushi,0.5143
rich,curry,spicy,food,0.5294
good,lighting,beautiful,interior,0.5278
tight,space,small,place,1.0
small,place,tight,space,1.0
knowledgeable,server,recommend,waiter,0.5588
very,dish,superb,food,0.5135
lovely,service,warm,staff,0.5484
fantastic,waiter,delicious,dinner,0.5143
bad,price,not good,service,1.0
not good,service,bad,price,1.0
reasonable,pricing,good,option,0.5135
big,food,nice,server,1.0
great,tacos,good,Tacos,1.0
good,Tacos,great,tacos,1.0
perfect,wine,wonderful,meal,1.0
creamy,dish,enjoy,restaurant,0.5278
phenomenal,service,appreciate,server,0.52
appreciate,server,phenomenal,service,0.52
small,seat,tiny,place,0.5255
tiny,place,small,seat,0.5255
perfect,flavour,awesome,food,0.512
tasty,salad,warm,service,0.5106
good,italian food,great,pasta,0.5588
quick,food,fast and,service,0.532
delicious,french toast,enjoy,brunch,0.5135
early,dinner,much,place,0.5143
much,place,early,dinner,0.5143
tasty,cook,good,recommendation,0.5357
good,sushi place,great,sushi restaurant,1.0
great,sushi restaurant,good,sushi place,1.0
nice,dinner,great,suggestion,0.5588
perfect,spot,cute,space,1.0
cute,space,perfect,spot,1.0
love,raman,great,Ramen,1.0
great,Ramen,love,raman,1.0
great,selection of beer,good,beer selection,0.5143
good,beer selection,great,selection of beer,0.5143
massive,portion,generous,serving,0.5134
light,broth,good,soup base,0.5143
good,soup base,light,broth,0.5143
consistent,service,quickly,server,0.5429
quickly,server,consistent,service,0.5429
average,service,lack,food,0.5588
amazing,flavor,intense,flavour,0.5313
intense,flavour,amazing,flavor,0.5313
fantastic,restaurant,amazing,wine,0.5135
amazing,quality,good,sushi restaurant,0.5294
spectacular,food,5 star,service,1.0
great,cocktail,excellent,drink,0.5278
extensive,wine list,great,wine selection,1.0
great,wine selection,extensive,wine list,1.0
knowledgable,staff,cozy,spot,0.5588
fun,night,amazing,time,0.5581
small,place,limited,space,0.5466
complimentary,dessert,spectacular,service,0.5143
favourite,menu,popular,restaurant,0.5294
warm,place,good,selection of,0.5143
noisy,place,super,loud,1.0
super,loud,noisy,place,1.0
rude,manager,standard,food,0.5135
recommend,brunch,good,potato,0.5333
good,potato,recommend,brunch,0.5333
spicy,sauce,authentic,flavour,0.5135
good,toppings,nice,crust,0.5152
great,fish,worth,lunch,1.0
quick,staff,favourite,place,0.5185
enjoy,plate,happy,service,0.5278
nice,brunch,delicious,french toast,0.5455
delicious,french toast,nice,brunch,0.5455
extremely,loud,lively,place,0.5294
perfect for,share,love,atmosphere,0.5106
love,atmosphere,perfect for,share,0.5106
great,dessert,present,food,0.5588
spot on,service,good,dining experience,0.5278
reasonable,price point,great,chef,0.507
cramped,seating,small,restaurant,0.5143
small,bite,tiny,portion,1.0
tiny,portion,small,bite,1.0
worth,meal,yummy,dessert,0.5278
yummy,dessert,worth,meal,0.5278
small,drink,great,music,0.5152
great,music,small,drink,0.5152
cool,spot,fantastic,atmosphere,0.5135
love,experience,perfect,dinner,0.5026
perfect,dinner,love,experience,0.5026
quick,order,efficient,service,0.5278
efficient,service,quick,order,0.5278
bad,attitude,horrible,customer service,0.5135
unique,flavor,delicious,flavour,1.0
delicious,flavour,unique,flavor,1.0
excellent,choice,romantic,date,0.5152
romantic,date,excellent,choice,0.5152
recommend,eat,good,taste,0.5312
good,taste,recommend,eat,0.5312
enjoy,beer,nice,pub,0.5282
lovely,experience,amazing,wine,0.5294
amazing,wine,lovely,experience,0.5294
personal,service,4 star,food,0.52
flavourful,meat,excellent,taste,1.0
good,bacon,delicious,breakfast,0.5135
nice,set,simple,salad,0.5294
simple,salad,nice,set,0.5294
fast and efficient,service,quick,meal,0.5143
not much,flavour,more,sauce,0.5161
lack in,flavour,disappointing,visit,0.5455
small,dish,expensive,portion,0.5135
relaxed,vibe,interesting,atmosphere,0.5294
delicious,flavor,deep,flavour,1.0
deep,flavour,delicious,flavor,1.0
huge,disappointment,low,rating,0.5143
reasonable,quality,excellent,presentation,0.5455
outstanding,food,fantastic,everything,0.5294
good,selection of beer,standard,pub fare,0.5152
standard,pub fare,good,selection of beer,0.5152
lot of,flavor,good,taste,1.0
good,taste,lot of,flavor,1.0
enjoy,sandwich,good,snack,0.5278
low,price,cheap,lunch,0.5278
much well,food,better,place,0.5294
delicious,meal,prepared,food,1.0
horrendous,service,bad,experience,0.5135
bad,experience,horrendous,service,0.5135
lovely,ambiance,beautiful,ambience,1.0
beautiful,ambience,lovely,ambiance,1.0
great,BBQ,good,brisket,0.5082
trendy,restaurant,great,ambience,0.5278
forget,server,nice,hostess,0.5229
warm,staff,lovely,service,0.5333
fresh and,food,always,fresh,0.52
always,fresh,fresh and,food,0.52
great,date spot,love,ambiance,0.5278
love,ambiance,great,date spot,0.5278
great,sushi,fresh,quality,0.56
good,thai food,delicious,curry,0.5161
good,entree,great,overall experience,1.0
well,food,delicious,plate,0.5278
big,piece,lot of,food,0.5078
lot of,food,big,piece,0.5078
amazing,broth,good,soup base,0.5143
good,soup base,amazing,broth,0.5143
tasty,roll,favourite,sushi place,0.5385
tasty,tacos,great,Tacos,0.5152
great,Tacos,tasty,tacos,0.5152
long,line up,huge,lineup,1.0
huge,lineup,long,line up,1.0
enjoy,raman,good,Ramen,1.0
good,Ramen,enjoy,raman,1.0
love,server,happy,service,0.5294
happy,service,love,server,0.5294
welcome,atmosphere,great,staff,0.5294
great,staff,welcome,atmosphere,0.5294
great,seafood,excellent,oyster,0.5152
professional,staff,good,main,0.5385
amazing,pasta,delicious,gnocchi,0.5294
delicious,gnocchi,amazing,pasta,0.5294
accommodate,staff,nice,everyone,0.5213
tiny,space,small,place,1.0
small,place,tiny,space,1.0
flavourful,food,authentic,dish,0.5147
recommend,burger,good,Burger,0.5294
good,Burger,recommend,burger,0.5294
delicious,mushroom,taste,salad,0.5278
wonderful,flavour,favorite,menu,0.5278
reserve,table,cancel,reservation,0.5278
large,windows,lot of,light,0.5625
inexpensive,food,awesome,price,0.5455
strong,flavor,intense,flavour,1.0
intense,flavour,strong,flavor,1.0
good,seat,enjoy,table,0.5135
terrible,place,poor,quality,0.5135
cheerful,staff,nice,little,0.5429
strong,coffee,benny,egg,0.5185
benny,egg,strong,coffee,0.5185
quaint,place,cozy,space,0.5278
cozy,space,quaint,place,0.5278
excellent,dessert,great,recommendation,0.5455
busy,waiter,bad,service,0.5385
high end,restaurant,fine,dining,0.5143
fine,dining,high end,restaurant,0.5143
amazing,dish,bold,flavour,0.5278
much well,service,not recommend,restaurant,0.5385
pricy,food,pricey,dinner,1.0
pricey,dinner,pricy,food,1.0
love,roll,enjoy,sushi,1.0
friendly,staff,amazing,customer service,0.5278
sweet,dessert,appreciate,food,0.5278
interesting,cocktail,fantastic,drink,0.5096
bad,dining experience,much well,service,0.5312
much well,service,bad,dining experience,0.5312
amazing,lunch,great,eat,1.0
great,eat,amazing,lunch,1.0
highlight,dessert,gorgeous,restaurant,1.0
good,pie,delicious,crust,0.5147
nice,option,pleasantly,surprised,0.5143
pleasantly,surprised,nice,option,0.5143
good,bar,delicious,poutine,0.5278
amazing,raman,good,Ramen,1.0
good,Ramen,amazing,raman,1.0
busy,order,fill,food,0.5429
beautiful,dish,amazing,plate,0.5143
amazing,plate,beautiful,dish,0.5143
Fun,place,fun,atmosphere,1.0
fun,atmosphere,Fun,place,1.0
excellent,waiter,4 star,service,0.5455
disgusting,food,terrible,service,0.5035
mild,sauce,best,tacos,0.5294
busy,kitchen,timely,food,0.5152
timely,food,busy,kitchen,0.5152
bottomless,coffee,amazing,breakfast,0.52
standout,dish,incredible,food,0.5102
incredible,food,standout,dish,0.5102
reasonable,price for,high,bar,0.5429
great,feel,cheerful,staff,1.0
nice,booth,not bad,place,0.5135
cheap,option,good,deal,0.5278
good,deal,cheap,option,0.5278
perfect,balance,excellent,flavour,0.5143
cook,scallop,intimate,restaurant,0.5166
delish,food,well,cook,0.5385
like,spicy,delicious,spice,0.5278
delicious,spice,like,spicy,0.5278
nice,venue,lovely,evening,0.5035
lovely,evening,nice,venue,0.5035
decent,option,huge,selection,1.0
good,food,fine,everything,1.0
excellent,food and,great,service,0.5294
taste great,everything,delicious,food,0.5172
amazing,food,taste great,everything,0.5149
